,R,W_a_a,Subject,Electrode,Sample rate,Samples,Total Electrodes,Sessions,Number thresholded,W_a_all,W_a_w,W_w_a,W_w_all,W_w_w,Thresholded Electrodes,Total Time (hrs),Average Session Length (hrs),Proportion Thresholded,Experiment
20,[-14.98  15.81 -33.96],0.5046672770237821,3,4,250.0,5959750,86,5.0,43,0.7109003920348387,0.042205786977323564,0.05662628118681137,0.05656464844189544,0.023938276161719757,43,6.622,1.324,0.5,RAM_FR1
21,[-57.19  19.07 -44.75],0.7817881172932536,3,3,250.0,5959750,86,5.0,43,0.1923721776143348,0.275575742602933,0.2294841552848919,0.2363061368803479,0.12715141206078065,43,6.622,1.324,0.5,RAM_FR1
22,[-43.21  18.21 -41.49],0.6295680956533907,3,0,250.0,5959750,86,5.0,43,0.7382593645254328,0.4547483146578544,0.3353860625802716,0.2414431472151258,0.07159419366024783,43,6.622,1.324,0.5,RAM_FR1
23,[-53.39  19.07 -43.78],0.9231170350546888,3,2,250.0,5959750,86,5.0,43,0.4307081044805888,0.6555669361890083,0.17313276491315507,0.19583593839316624,0.07933203057097514,43,6.622,1.324,0.5,RAM_FR1
24,[-27.28   1.97 -20.61],0.2552853440110471,1,2,250.0,2807340,120,4.0,24,0.2303618030650512,0.0937624617469774,-0.05553455478515492,-0.07585854192400941,-0.02117297270856678,96,3.119,0.78,0.2,RAM_FR1
25,[-46.17  18.21 -42.23],0.06770718010341811,3,1,250.0,5959750,86,5.0,43,0.3923140829707112,0.10246418335999083,0.41622863499305945,0.2935535485125476,0.16310540208579802,43,6.622,1.324,0.5,RAM_FR1
26,[-27.17 -34.8   31.67],0.1963283839724039,0,9,250.0,668750,104,1.0,19,0.6745806873058507,0.5673794069321899,0.3452833333784897,0.2518382067159429,0.1920864899662054,85,0.743,0.743,0.183,RAM_FR1
27,[-28.47 -29.16  29.45],0.08615671790238834,0,8,250.0,668750,104,1.0,19,0.8133336696112914,0.5044198368544073,0.09794848984790336,0.11687306970585265,0.172710205785731,85,0.743,0.743,0.183,RAM_FR1
28,[-68.4   -7.51  27.9 ],0.1759182335431446,0,6,250.0,668750,104,1.0,19,0.7306250751065315,0.410016319238897,0.12748485969348294,0.3215692090623349,0.4211143872749507,85,0.743,0.743,0.183,RAM_FR1
29,[-61.62  -2.9   32.75],0.1334141117410044,0,5,250.0,668750,104,1.0,19,0.5350471425565039,0.20134314492334265,0.16265509905674416,0.25737770722638786,0.3635703621205835,85,0.743,0.743,0.183,RAM_FR1
30,[-27.24 -41.09  33.47],0.0664657101544584,0,10,250.0,668750,104,1.0,19,0.6683299766404383,0.6263661158527175,0.5339932234919806,0.28105347378015977,0.2217093106853556,85,0.743,0.743,0.183,RAM_FR1
31,[-30.63  18.14  19.69],0.485604543777785,0,11,250.0,668750,104,1.0,19,0.8092793997421395,0.92894525109461,-0.051148883746589865,0.028202115301451426,-0.16579279950959264,85,0.743,0.743,0.183,RAM_FR1
32,[-31.37  24.81  18.26],0.009818733049307141,0,7,250.0,668750,104,1.0,19,0.06613737052696199,0.15998928219155964,-0.03916974159303141,-0.07678399259516032,-0.24346568711708816,85,0.743,0.743,0.183,RAM_FR1
33,[ 23.22 -59.21   7.93],0.3415058400519142,0,76,250.0,668750,104,1.0,19,0.8963799036142056,0.8632410417839375,0.18018931682310835,0.11375383810080965,0.21781767421568346,85,0.743,0.743,0.183,RAM_FR1
34,[-29.4   11.8   21.34],0.5833162001719728,0,12,250.0,668750,104,1.0,19,0.8755844033773273,0.9534548906402636,0.0782253276094769,0.21005480151631167,0.2744962504207713,85,0.743,0.743,0.183,RAM_FR1
35,[-28.21 -17.02  27.2 ],0.012945506044399221,0,17,250.0,668750,104,1.0,19,0.2351131699226561,0.6443559331034554,0.17647118559691355,0.22667908164154185,0.20341446830945584,85,0.743,0.743,0.183,RAM_FR1
36,[ 23.09 -68.82  10.49],0.785742123229833,0,70,250.0,668750,104,1.0,19,0.8540670181189491,0.8872538235255368,0.1062118754750314,0.18905051431708825,0.33772329252463945,85,0.743,0.743,0.183,RAM_FR1
37,[-11.17  31.11  47.29],0.4729105929779696,0,25,250.0,668750,104,1.0,19,0.871869955017483,0.7178114345213222,0.28335272505904546,0.2859332661070982,0.5210701893295636,85,0.743,0.743,0.183,RAM_FR1
38,[-29.01 -12.18  26.02],0.11061957498240392,0,16,250.0,668750,104,1.0,19,0.2267215149374376,0.7587235759229928,0.7654639375072207,0.23059106400232346,0.22969497883541706,85,0.743,0.743,0.183,RAM_FR1
39,[-9.69 39.5  28.25],0.4229769177317404,0,22,250.0,668750,104,1.0,19,0.8588876469185162,0.5007869273933371,0.2895626933002547,0.21018649730809005,0.3096654333725826,85,0.743,0.743,0.183,RAM_FR1
40,[-29.47   5.52  23.14],0.561633240180568,0,13,250.0,668750,104,1.0,19,0.23955755896687525,0.9132877505518846,0.609108208143467,0.1002282500495362,0.21685818634589096,85,0.743,0.743,0.183,RAM_FR1
41,[-10.27  33.48  42.27],0.30551254272635203,0,24,250.0,668750,104,1.0,19,0.9316308759808298,0.5831903564673976,0.2563483928799606,0.2426623521549117,0.460128519907117,85,0.743,0.743,0.183,RAM_FR1
42,[-28.87  -6.67  25.3 ],-0.10979821194801656,0,15,250.0,668750,104,1.0,19,0.4494050339219935,0.7218501291179766,0.9069124946401864,0.271327813216011,0.2694884431573162,85,0.743,0.743,0.183,RAM_FR1
43,[-28.8   -0.38  23.49],-0.030379892254060768,0,14,250.0,668750,104,1.0,19,0.4763044124537881,0.7871402901993133,0.7216745595344384,0.11783965717518337,0.2717569123600148,85,0.743,0.743,0.183,RAM_FR1
44,[-21.39  18.21  -1.69],0.3030714539685853,0,27,250.0,668750,104,1.0,19,0.2780248787701751,0.2803487993060432,0.053503849088286815,-0.010222830827349752,-0.04921768263547955,85,0.743,0.743,0.183,RAM_FR1
45,[24.54 13.72 74.86],0.3306205291742276,0,67,250.0,668750,104,1.0,19,0.8917700814404342,0.7305072755291686,0.2941933094476589,0.2294556112490251,0.24487690985142202,85,0.743,0.743,0.183,RAM_FR1
46,[-11.52  24.24  64.04],0.658827519132634,0,26,250.0,668750,104,1.0,19,0.8493705427624668,0.7425105573948457,0.3155057425222551,0.2736011503850435,0.14535220816502356,85,0.743,0.743,0.183,RAM_FR1
47,[-9.22 43.92 18.07],0.29357971087531953,0,19,250.0,668750,104,1.0,19,0.5222562154318999,0.26450931175898523,0.2430191626640208,0.2226726267823814,0.25127239907622057,85,0.743,0.743,0.183,RAM_FR1
48,[23.03 19.62 57.47],0.4108965874839617,0,69,250.0,668750,104,1.0,19,0.8793371906900953,0.6634261263578957,0.21600406405104386,0.07469846978666482,0.1398233650105097,85,0.743,0.743,0.183,RAM_FR1
49,[59.13  6.17 -4.57],0.15822128539717206,0,79,250.0,668750,104,1.0,19,0.1851785396375001,0.17216193567901206,0.3033700926936305,0.20990244698683924,0.31910446617959826,85,0.743,0.743,0.183,RAM_FR1
50,[ 61.97 -19.51  12.63],0.04000284304045997,0,82,250.0,668750,104,1.0,19,0.30158670900351336,0.1424309035580111,0.4639488452678222,0.4399718864156116,0.4507298665955748,85,0.743,0.743,0.183,RAM_FR1
51,[-13.09  15.16  82.54],-0.027490660882035167,0,21,250.0,668750,104,1.0,19,0.1257098389644464,0.2590408427920101,0.08397710157741986,0.021163748466459097,0.03038656190995192,85,0.743,0.743,0.183,RAM_FR1
52,[ 23.46 -41.49   3.32],0.09140623390548068,0,74,250.0,668750,104,1.0,19,0.051602489659979364,0.8758655284434718,0.1853538358654488,-0.17485475672528789,0.20785822286551328,85,0.743,0.743,0.183,RAM_FR1
53,[-12.77  19.09  75.4 ],0.15322642193802818,0,20,250.0,668750,104,1.0,19,0.8042274634324862,0.5446602222803553,0.34374754057055856,0.24993052230250334,0.07504971765230567,85,0.743,0.743,0.183,RAM_FR1
54,[-10.    37.05  34.85],0.3371092932219781,0,23,250.0,668750,104,1.0,19,0.4257388753801114,0.12471087240459555,0.43511803156763856,0.2703876042410733,0.460441486423821,85,0.743,0.743,0.183,RAM_FR1
55,[-28.32 -23.66  28.73],0.03670489165446013,0,18,250.0,668750,104,1.0,19,0.6767212626859211,0.7386066005214421,0.09813098260852908,0.20373166711965526,0.18732878097174616,85,0.743,0.743,0.183,RAM_FR1
56,[ 24.4  -33.75   0.88],0.2871904854989992,0,73,250.0,668750,104,1.0,19,0.33124788544843264,0.3506236999633342,0.11401251695981672,0.05903464012303969,0.09638421892540076,85,0.743,0.743,0.183,RAM_FR1
57,[18.74 37.94 16.1 ],0.15426079812636007,0,68,250.0,668750,104,1.0,19,0.6379671441395135,0.4003068377322157,0.14389160052842806,0.15397175910134098,0.10250816862596417,85,0.743,0.743,0.183,RAM_FR1
58,[ 48.68  20.58 -15.31],0.030799689965450395,0,77,250.0,668750,104,1.0,19,0.4815063511625616,0.2000940192228559,0.4997893440531498,0.4270136756232418,0.5183399914864256,85,0.743,0.743,0.183,RAM_FR1
59,[23.94 15.85 68.07],0.9280469298214812,0,66,250.0,668750,104,1.0,19,0.9392416165010048,0.929102792564178,-0.07133333245524222,0.23262360632516385,0.28424403939206194,85,0.743,0.743,0.183,RAM_FR1
60,[62.39 -1.87  1.08],0.06378972314627343,0,80,250.0,668750,104,1.0,19,0.3078334098206459,0.21451240811194253,0.2598082297674705,0.17624278934368134,0.3944823223010338,85,0.743,0.743,0.183,RAM_FR1
61,[ 70.35 -33.12  23.25],0.44675591494116507,0,84,250.0,668750,104,1.0,19,0.7360738342633538,0.8564934895103564,0.7299250431800007,0.7922942810207911,0.8242225553153354,85,0.743,0.743,0.183,RAM_FR1
62,[ 23.75 -86.23  15.29],0.26972462260994123,0,72,250.0,668750,104,1.0,19,0.3370742508731442,0.5912739489312879,-0.00032603917612530735,0.09552041857868113,0.15875194258082345,85,0.743,0.743,0.183,RAM_FR1
63,[ 53.59  13.25 -10.96],0.013900535539666229,0,78,250.0,668750,104,1.0,19,0.62938734757547,0.28438982390800244,0.4394289874357839,0.5909250069537598,0.6018827702881963,85,0.743,0.743,0.183,RAM_FR1
64,[ 65.36 -26.49  18.71],0.1124273396705688,0,83,250.0,668750,104,1.0,19,0.5346740271396909,0.5550594650091633,0.15321591889182762,0.4882889860596489,0.7937196350005997,85,0.743,0.743,0.183,RAM_FR1
65,[ 62.52 -10.85   5.85],0.03263063516894472,0,81,250.0,668750,104,1.0,19,0.1937211196231938,0.22773854872032614,0.3273159607212358,0.2050986756722752,0.3319094450521177,85,0.743,0.743,0.183,RAM_FR1
66,[ 23.83 -78.46  12.97],0.02597245703724094,0,71,250.0,668750,104,1.0,19,0.5072967579527331,0.4046469570482159,0.15218189480765767,0.02318081567399121,0.036124667711153705,85,0.743,0.743,0.183,RAM_FR1
67,[ 23.42 -50.39   6.44],0.2033363787463685,0,75,250.0,668750,104,1.0,19,0.4135734740942327,0.9118622007744936,-0.037535247936477036,0.0517953949374463,0.20061600989679215,85,0.743,0.743,0.183,RAM_FR1
68,[23.55 18.26 63.19],0.8581735990360838,0,65,250.0,668750,104,1.0,19,0.9385891546956964,0.8972493997142325,0.042207516530938974,0.18232812570155105,0.2280717694271745,85,0.743,0.743,0.183,RAM_FR1
69,[17.36 39.33 10.48],-0.004975641691633044,0,64,250.0,668750,104,1.0,19,0.4244558859975097,0.5455781277274268,0.18848603525728835,0.19889609792830965,0.04453034419885537,85,0.743,0.743,0.183,RAM_FR1
70,[-40.27 -71.23   6.96],0.3706339259411499,0,29,250.0,668750,104,1.0,19,0.9193377105355872,0.9470000558911756,0.2897958933764724,0.29398849454633863,0.2896519624940561,85,0.743,0.743,0.183,RAM_FR1
71,[44.75 -9.04 72.03],0.5311486128460039,0,47,250.0,668750,104,1.0,19,0.6055100991018636,0.3591072089851155,0.13400654362019646,-0.032527683364631035,-0.1938938559682092,85,0.743,0.743,0.183,RAM_FR1
72,[-47.31  18.53 -17.78],0.07972170263125948,0,38,250.0,668750,104,1.0,19,0.3481391318248546,0.24973479522851744,0.15455211552411846,0.2918607049949403,0.2287054107378095,85,0.743,0.743,0.183,RAM_FR1
73,[-55.66  13.37 -15.95],0.00393049598948833,0,39,250.0,668750,104,1.0,19,0.3486630417298169,0.2200678034144472,0.3857521820026532,0.22451692708124266,0.10144941529274354,85,0.743,0.743,0.183,RAM_FR1
74,[-69.62  -7.7   15.87],0.18850265577389627,0,43,250.0,668750,104,1.0,19,0.5827238330622201,0.1619216664258167,0.047071762956906966,0.13861680678273758,-0.06652461423504727,85,0.743,0.743,0.183,RAM_FR1
75,[-42.72 -80.68   8.14],0.10741002410289427,0,30,250.0,668750,104,1.0,19,0.30526303460674203,0.555694526172171,0.04450287787297568,0.08599921895308414,0.06805760136064777,85,0.743,0.743,0.183,RAM_FR1
76,[-32.97 -35.26   4.42],0.1204714376530336,0,35,250.0,668750,104,1.0,19,0.4519147803113077,0.17916764481782388,0.11995900344469115,0.2034494990340312,0.1378342172600031,85,0.743,0.743,0.183,RAM_FR1
77,[37.65 -6.05 78.45],0.020138467069571217,0,46,250.0,668750,104,1.0,19,0.15646528335895085,0.17762445686532846,0.0570095447775703,-0.058716896942835564,-0.3101377453381922,85,0.743,0.743,0.183,RAM_FR1
78,[-69.58  -3.27   5.74],0.20642323228644413,0,42,250.0,668750,104,1.0,19,0.4087041614817072,0.11820279678467348,0.013912544978953213,0.12908376153261944,-0.17020518499549955,85,0.743,0.743,0.183,RAM_FR1
79,[-23.88   8.41  -0.71],0.1851390751297444,0,31,250.0,668750,104,1.0,19,0.4060642277045168,0.2999091556268376,0.054726256213819116,0.09078854752125017,0.03295293922991128,85,0.743,0.743,0.183,RAM_FR1
80,[ 63.04 -24.82  25.37],0.4850258068610173,0,52,250.0,668750,104,1.0,19,0.3612593332067544,0.4952326408212007,0.1875363869573383,0.2554250446089315,0.11019776457104992,85,0.743,0.743,0.183,RAM_FR1
81,[-29.38 -17.8    2.73],-0.1590279020431135,0,33,250.0,668750,104,1.0,19,0.05375426573729308,0.3491599400202321,-0.14768921981585265,-0.017443003715627868,-0.062357064816856975,85,0.743,0.743,0.183,RAM_FR1
82,[-71.92 -11.61  24.9 ],0.2133300032431593,0,44,250.0,668750,104,1.0,19,0.6064604883840566,0.6040503324919654,0.06976493135697788,0.17632725193827398,-0.01661099380337138,85,0.743,0.743,0.183,RAM_FR1
83,[-36.69 -53.78   5.27],0.4905053072086251,0,37,250.0,668750,104,1.0,19,0.8730345440040177,0.9083614634336106,0.2621505365602912,0.2599048871888301,0.3538932673776693,85,0.743,0.743,0.183,RAM_FR1
84,[-35.41 -44.7    5.6 ],0.5941390899275074,0,36,250.0,668750,104,1.0,19,0.6702371370995742,0.7473730611342141,0.015610352139170353,0.255250277349824,0.3237952285791912,85,0.743,0.743,0.183,RAM_FR1
85,[-39.13 -63.22   6.45],0.5992206668795559,0,28,250.0,668750,104,1.0,19,0.9611829655964989,0.9143860290135936,0.3198307170395025,0.1904515660461644,0.2115733483566138,85,0.743,0.743,0.183,RAM_FR1
86,[-62.46   7.29 -11.31],0.1810397821036949,0,40,250.0,668750,104,1.0,19,0.37271975420401393,0.2827423754957614,0.10048884781818876,0.19588564460987826,0.02936982904642301,85,0.743,0.743,0.183,RAM_FR1
87,[-75.91 -13.62  33.88],0.17848122340399256,0,45,250.0,668750,104,1.0,19,0.37990193097546093,0.6173108356233588,0.09682352033172444,0.17511078746713224,0.03908458529719035,85,0.743,0.743,0.183,RAM_FR1
88,[ 57.8  -18.41  44.63],0.13000014584882644,0,50,250.0,668750,104,1.0,19,0.36537527579687457,0.4607170394424511,0.03519558208058781,0.025337010172803497,0.006997488213959062,85,0.743,0.743,0.183,RAM_FR1
89,[ 50.83 -11.93  64.09],0.2309600805412408,0,48,250.0,668750,104,1.0,19,0.5202155000022666,0.2384607418022456,0.11986738936122393,0.03015361591773873,-0.07307412750173523,85,0.743,0.743,0.183,RAM_FR1
90,[ 29.64 -18.16  16.38],-0.17053797459518827,0,61,250.0,668750,104,1.0,19,0.15747529717459924,0.07009862936081658,-0.07567322853989683,0.08902271670952412,-0.03643605142157586,85,0.743,0.743,0.183,RAM_FR1
91,[ 26.14 -41.98  21.51],0.3778602429491492,0,56,250.0,668750,104,1.0,19,0.714594459216614,0.7200124109035498,-0.2234493164130449,0.11491351683476032,0.1893941340485323,85,0.743,0.743,0.183,RAM_FR1
92,[-31.75 -26.54   4.46],-0.1622212805683868,0,34,250.0,668750,104,1.0,19,0.1170769365313081,0.2259940522699928,0.17828350916363567,0.045303504288675474,0.07879198657545047,85,0.743,0.743,0.183,RAM_FR1
93,[34.55  5.18 12.45],-0.14755141919262008,0,59,250.0,668750,104,1.0,19,0.9455372166593272,0.6182642411783538,0.4237031706658235,0.21427229966383005,0.27604542835028273,85,0.743,0.743,0.183,RAM_FR1
94,[ 59.75 -21.77  34.94],0.2060854008400638,0,51,250.0,668750,104,1.0,19,0.5848843907590031,0.6523884997290412,0.04224005993894097,0.1895646737471497,-0.007351767092730938,85,0.743,0.743,0.183,RAM_FR1
95,[35.47 11.43 10.55],0.371788874867796,0,58,250.0,668750,104,1.0,19,0.8866360546660237,0.5322301187477928,-0.4038844816103917,0.1769990519914066,0.16076682332343228,85,0.743,0.743,0.183,RAM_FR1
96,[-27.3   -9.12   2.69],0.3162151125155125,0,32,250.0,668750,104,1.0,19,0.07835652162400479,0.19879224839262785,0.34632543550334594,0.2768294687674096,0.21841034076331856,85,0.743,0.743,0.183,RAM_FR1
97,[ 68.3  -25.84  17.29],0.4278714790015985,0,53,250.0,668750,104,1.0,19,0.6945316829472611,0.6502660555750946,0.09726935934409628,0.21835786385504932,0.17939262083808008,85,0.743,0.743,0.183,RAM_FR1
98,[33.06 -0.63 13.05],-0.07948094940735162,0,60,250.0,668750,104,1.0,19,0.8462343521771241,0.5938841166188262,0.4725331071630368,0.2112720452159864,0.3048658704813077,85,0.743,0.743,0.183,RAM_FR1
99,[37.34 16.86  9.63],0.17413201723351152,0,54,250.0,668750,104,1.0,19,0.5294607485993953,0.2177180349591992,0.1607320278719118,0.08877001738580924,0.09706625068126676,85,0.743,0.743,0.183,RAM_FR1
100,[-68.12   2.17  -4.06],0.04354140626239249,0,41,250.0,668750,104,1.0,19,0.4294405885598023,0.3000705475540673,0.03628090156890345,0.1266300733846819,-0.1256574366965106,85,0.743,0.743,0.183,RAM_FR1
101,[ 26.21 -35.69  19.71],0.20128019257187654,0,55,250.0,668750,104,1.0,19,0.3557074302966395,0.4701640319447393,0.17758133708814666,0.03641288180663208,0.12450302633323695,85,0.743,0.743,0.183,RAM_FR1
102,[ 27.7  -29.88  19.11],0.34775890940082804,0,63,250.0,668750,104,1.0,19,0.5994582626996048,0.6757219057449163,0.07488992269502688,0.07487706459927315,0.11977347277082265,85,0.743,0.743,0.183,RAM_FR1
103,[ 55.02 -14.66  54.71],0.07945833846988057,0,49,250.0,668750,104,1.0,19,0.3474851134589643,0.21782558681718428,0.047707639597441696,0.06520224037379352,-0.10341982642879846,85,0.743,0.743,0.183,RAM_FR1
104,[ 28.63 -23.64  17.2 ],0.19151078884095127,0,62,250.0,668750,104,1.0,19,0.5597981822287161,0.3385035392648006,-0.05635556009282824,0.0906067712659993,0.1039902964002912,85,0.743,0.743,0.183,RAM_FR1
105,[ 25.29 -47.52  23.97],0.20214786562042,0,57,250.0,668750,104,1.0,19,0.8900111321685029,0.9127335828095108,-0.050532966954925006,0.10984791468589776,0.1640068258734837,85,0.743,0.743,0.183,RAM_FR1
106,[-48.18 -22.68 -55.66],0.4097471598316538,3,41,250.0,5959750,86,5.0,43,0.3726396555995475,0.005202093626008211,0.08981252060743118,0.1067503948232252,0.08987113461915827,43,6.622,1.324,0.5,RAM_FR1
107,[ 31.52 -28.09  21.97],0.6571711185579776,1,75,250.0,2807340,120,4.0,24,0.5347261163446528,0.008170283143684079,0.3099298285093875,0.0015772819879429055,0.03635682882303805,96,3.119,0.78,0.2,RAM_FR1
108,[53.41 18.58  1.25],0.2684218821082371,1,68,250.0,2807340,120,4.0,24,0.27454218994926105,0.11245202356882072,0.03826423350365096,0.09207444034258548,0.04275093316690564,96,3.119,0.78,0.2,RAM_FR1
109,[ 10.98 -27.6   21.56],0.3404555438651933,1,72,250.0,2807340,120,4.0,24,0.28354638376882385,0.215251502138211,0.08792408429678898,0.008935216719675312,-0.032166893909056936,96,3.119,0.78,0.2,RAM_FR1
110,[36.21 17.38  3.47],0.5392614993321958,1,63,250.0,2807340,120,4.0,24,0.4857705294170962,0.10789662336093377,0.1489986062546482,0.03883183406465899,0.007245844744132783,96,3.119,0.78,0.2,RAM_FR1
111,[39.51 17.68  3.68],0.394469782817472,1,64,250.0,2807340,120,4.0,24,0.2630703138749231,0.38364432914418906,-0.1113802681169309,0.12193336278865148,-0.0073843703440623,96,3.119,0.78,0.2,RAM_FR1
112,[31.45 43.77 18.5 ],0.5717682194556813,1,84,250.0,2807340,120,4.0,24,0.5068359998361184,0.11659438643525274,-0.20543165519927856,0.06734377839771377,-0.021830395252477288,96,3.119,0.78,0.2,RAM_FR1
113,[57.46  7.28 28.17],0.7188851751255707,1,62,250.0,2807340,120,4.0,24,0.28155347658502544,0.2578386413517777,-0.04267635441748598,0.17985440354597912,0.050109519906057866,96,3.119,0.78,0.2,RAM_FR1
114,[36.27  8.98 38.53],0.6985583591459706,1,92,250.0,2807340,120,4.0,24,0.416359956232621,0.3777164638382679,0.4125008381557512,0.16736041408022848,0.0628369365406751,96,3.119,0.78,0.2,RAM_FR1
115,[  3.85 -28.26  21.13],0.14367850567290968,1,70,250.0,2807340,120,4.0,24,0.2738719119923785,0.10109398249411317,0.033000141344080525,0.10261989524299164,-0.02683243040903149,96,3.119,0.78,0.2,RAM_FR1
116,[32.97  7.96 61.45],0.5218158425793625,1,95,250.0,2807340,120,4.0,24,0.2842473893506138,0.013276776166603634,0.22267367616456069,0.12496177222938876,-0.0019776218882394717,96,3.119,0.78,0.2,RAM_FR1
117,[41.02  9.92  9.13],0.22561848182613614,1,88,250.0,2807340,120,4.0,24,0.4762330712481199,0.3759008387221818,-0.09325285489520586,0.13440140597371625,0.02971570386314038,96,3.119,0.78,0.2,RAM_FR1
118,[39.53 10.53 15.53],0.5916192544608955,1,89,250.0,2807340,120,4.0,24,0.3645662132494186,0.16134599067687436,0.010418122818402544,0.21012667270309104,0.0699790725573124,96,3.119,0.78,0.2,RAM_FR1
119,[37.79  8.79 30.98],0.6397780910375326,1,91,250.0,2807340,120,4.0,24,0.046901932014124084,0.1834045235807932,0.19104599955276985,0.2727995892769734,0.0807305680674671,96,3.119,0.78,0.2,RAM_FR1
120,[38.06 10.17 23.15],0.3512874091860166,1,90,250.0,2807340,120,4.0,24,0.403033302202122,0.20623346479991927,-0.08643247046171229,0.07276911841213128,-0.006520418448966812,96,3.119,0.78,0.2,RAM_FR1
121,[34.43  8.33 53.83],0.5210959530308767,1,94,250.0,2807340,120,4.0,24,0.3239663456944278,0.21679702549215804,0.055871165084627035,0.12365640303743207,0.021926707764603443,96,3.119,0.78,0.2,RAM_FR1
