,R,W_a_a,Subject,Electrode,Sample rate,Samples,Total Electrodes,Sessions,Number thresholded,W_a_all,W_a_w,W_w_a,W_w_all,W_w_w,Thresholded Electrodes,Total Time (hrs),Average Session Length (hrs),Proportion Thresholded,Experiment
0,[-50.39  18.22 -43.3 ],0.2424944459507592,3,2,250.0,588250,86,1.0,14,0.3009865625095286,0.4476374372525149,-0.16258608176122188,0.2362282078470626,0.06175453402408883,72,0.654,0.654,0.163,RAM_CatFR1
1,[-46.17  18.21 -42.23],0.17705613532622355,3,1,250.0,588250,86,1.0,14,0.04604569455192158,0.4789719181514861,0.16584503367763045,0.2751663083334461,0.2920736903274679,72,0.654,0.654,0.163,RAM_CatFR1
2,[-57.19  19.07 -44.75],0.2341884794173395,3,4,250.0,588250,86,1.0,14,0.7883638269797014,0.9161959641729888,0.542038861797792,-0.021314808296564416,0.11742939548319525,72,0.654,0.654,0.163,RAM_CatFR1
3,[-43.21  18.21 -41.49],0.3361557137601113,3,0,250.0,588250,86,1.0,14,0.5367113477194841,0.7968272179404339,0.00524118921542693,-0.2111793067989805,0.04685664490710615,72,0.654,0.654,0.163,RAM_CatFR1
4,[-54.86  15.87  40.38],0.024988676109548632,0,3,250.0,668750,104,1.0,19,0.4267851908237719,0.2320294617778773,0.18767015174194696,0.3125298838740962,0.37853647902649395,85,0.743,0.743,0.183,RAM_FR1
5,[-38.79  51.43  47.05],0.04945471247574993,0,0,250.0,668750,104,1.0,19,0.1915582893026717,0.5146273666345687,0.11343971939905415,0.07264393425192228,0.4612101035219963,85,0.743,0.743,0.183,RAM_FR1
6,[-52.44  24.4   43.61],0.10453725458297128,0,2,250.0,668750,104,1.0,19,0.2944878936197838,0.303375829711632,0.2846936776770677,0.3954097738719213,0.34520119750107914,85,0.743,0.743,0.183,RAM_FR1
7,[-53.39  19.07 -43.78],0.1356240354035867,3,3,250.0,588250,86,1.0,14,0.5671265830030643,0.09712025614223738,0.4917270001349476,0.0730848133071502,0.04377500761760954,72,0.654,0.654,0.163,RAM_CatFR1
8,[-38.79  51.43  47.05],0.2340993104895911,0,0,250.0,945000,104,2.0,24,0.537997671273824,0.6377448151508751,0.13708050501533678,0.29540961149060996,0.2704716466194737,80,1.05,0.525,0.231,RAM_CatFR1
9,[-43.98  42.16  46.89],-0.04540880150594462,0,1,250.0,945000,104,2.0,24,0.6476662816489697,0.7106328590785252,0.4407858264966684,0.4657730076284369,0.3195319129202679,80,1.05,0.525,0.231,RAM_CatFR1
10,[-48.86  33.3   45.33],-0.019940986270812,0,2,250.0,945000,104,2.0,24,0.6110742041766595,0.4750849395302584,0.3317166653953258,0.3034869290474238,0.3595295129573281,80,1.05,0.525,0.231,RAM_CatFR1
11,[-48.86  33.3   45.33],0.007090567345345906,0,1,250.0,668750,104,1.0,19,0.05344858607162137,0.13590130554039792,0.1498359557961129,0.20022771177963167,0.3004532225112135,85,0.743,0.743,0.183,RAM_FR1
12,[-57.67   6.22  38.01],0.3848735452192616,0,4,250.0,668750,104,1.0,19,0.5063235627340147,0.20072758072378355,0.04935439086221386,0.1875449844632071,0.3547494772773423,85,0.743,0.743,0.183,RAM_FR1
13,[-37.15   1.06 -21.26],0.31006531634654394,1,4,250.0,773040,120,1.0,9,0.05397199235985616,0.34008536501959985,0.1497305352678911,0.16187838917565894,0.1603421474013931,111,0.859,0.859,0.075,RAM_CatFR1
14,[-27.28   1.97 -20.61],0.13891909116751155,1,2,250.0,773040,120,1.0,9,0.3473398191596273,0.6012334010271859,0.0961434900801274,0.00455648063082369,0.08667821604282261,111,0.859,0.859,0.075,RAM_CatFR1
15,[-32.22   1.52 -20.94],-0.09091163242786517,1,3,250.0,773040,120,1.0,9,0.4451862206761775,0.03502913508390871,0.13442350310806184,0.020661163194166245,0.08722402947160135,111,0.859,0.859,0.075,RAM_CatFR1
16,[-22.34   2.42 -20.3 ],0.3917373969134814,1,0,250.0,773040,120,1.0,9,0.5942619428220404,0.4385696935995357,0.01632990824679801,0.11978162454036735,0.197824934154788,111,0.859,0.859,0.075,RAM_CatFR1
17,[-68.58  -0.58 -22.26],0.3753733888698995,1,1,250.0,773040,120,1.0,9,0.6381684457482438,0.15539817065890052,0.11282292858946615,0.2440562431496989,0.3715565578250053,111,0.859,0.859,0.075,RAM_CatFR1
18,[-52.44  24.4   43.61],0.16502633887124188,0,3,250.0,945000,104,2.0,24,0.6592712489842628,0.6087769057329274,0.05665447583202825,0.3305560334160984,0.5176664229984707,80,1.05,0.525,0.231,RAM_CatFR1
19,[-54.86  15.87  40.38],0.4636763415446672,0,4,250.0,945000,104,2.0,24,0.609917683480146,0.5530145140086876,0.03794488098206685,0.2275115383017352,0.2820106502043344,80,1.05,0.525,0.231,RAM_CatFR1
