,across,within,Subject,R,Sample rate,Samples,Thresholded Electrodes,Sessions,Number thresholded,Total Time (hrs),Average Session Length (hrs),Total Electrodes,Proportion Thresholded
3218,0.599598467730789,0.6819415533402222,63,[ 56.57 -18.94 -15.4 ],400.0,3776377,53,4.0,9,2.622,0.656,62,0.145
3219,0.3501915557698931,0.32024313199889964,29,[ 43.43 -97.6  -10.41],1024.0,4177920,79,2.0,15,1.133,0.566,94,0.16
3220,0.8876504424044778,-0.3393315241865007,10,[-21.21  21.98 -30.91],256.0,1336064,68,1.0,4,1.45,1.45,72,0.056
3221,0.8480155303138627,0.6832322671354844,63,[35.35 54.87 39.9 ],400.0,3776377,53,4.0,9,2.622,0.656,62,0.145
3222,0.4930362130812415,0.2413617307437745,53,[60.61 -2.83 37.94],1000.0,4104000,78,1.0,12,1.14,1.14,90,0.133
3223,0.9709542939659334,0.5482189238907986,62,[ 43.43  -8.85 -10.05],400.0,20458800,54,6.0,33,14.208,2.368,87,0.379
3224,0.806934360943303,0.7818424863617495,35,[ 12.12  -5.51 -15.81],256.0,2227200,12,4.0,18,2.417,0.604,30,0.6
3225,0.6156436825028838,0.4196559250271936,63,[  7.07 -55.6   -2.93],400.0,3776377,53,4.0,9,2.622,0.656,62,0.145
3226,0.22511513181744164,0.2855725099641344,63,[ 19.19 -86.28  56.39],400.0,3776377,53,4.0,9,2.622,0.656,62,0.145
3227,0.408684718129161,0.20216084929990824,50,[-22.22 -25.84 -22.95],2000.0,12000000,56,1.0,7,1.667,1.667,63,0.111
3228,0.8412489186156383,0.3902857527863038,21,[ 63.64 -39.43  26.21],512.0,527360,58,1.0,27,0.286,0.286,85,0.318
3229,0.4485100454726049,-0.2388819463737227,17,[-48.48  41.6   -7.13],256.0,758659,156,1.0,0,0.823,0.823,156,0.0
3230,0.11936060163739567,0.3578181655385406,60,[-49.49 -77.99  33.97],1000.0,8817000,80,2.0,16,2.449,1.224,96,0.167
3231,0.7427004669935111,0.171019543798767,20,[ 50.51 -69.5    7.21],256.0,921600,69,1.0,29,1.0,1.0,98,0.296
3232,0.5583696758417167,0.6182764657782641,11,[-18.18 -21.21 -34.6 ],256.0,1708544,83,3.0,3,1.854,0.618,86,0.035
