,Corr,Freq
0,0.5227758490512966,raw
1,0.5429357424166952,delta
2,0.5767213115349386,theta
3,0.5570290421374218,alpha
4,0.5295816207976065,beta
5,0.4596690818260259,lgamma
6,0.4388200511486988,hgamma
7,0.6419681338364622,broadband
